起点ID,起点类型,关系名称,终点ID,终点类型,示例
c1f1f6615ff0335b,作者实体,活跃于,2b45004ffdb9e977,朝代实体,张志和 → 活跃于 → 唐代
dfd37fd4b7aca2d4,作者实体,活跃于,d594bdc54e3f5f2d,朝代实体,左丘明 → 活跃于 → 先秦
1d0b168586df683c,作者实体,活跃于,8a1dda8fe4d6ad38,朝代实体,曾巩 → 活跃于 → 宋代
6f3b119ce325964d,作者实体,活跃于,2b45004ffdb9e977,朝代实体,鱼玄机 → 活跃于 → 唐代
d982c1c54f0fe1a9,作者实体,活跃于,894d547a09e3f90f,朝代实体,柳如是 → 活跃于 → 明代
e13cb4c317ea75ed,作者实体,活跃于,8a1dda8fe4d6ad38,朝代实体,寇准 → 活跃于 → 宋代
9a29cfa28122ab21,作者实体,活跃于,2b45004ffdb9e977,朝代实体,雍裕之 → 活跃于 → 唐代
7979db824cffb5c2,作者实体,活跃于,2b45004ffdb9e977,朝代实体,何希尧 → 活跃于 → 唐代
89a3f1c70b41964b,作者实体,活跃于,8a1dda8fe4d6ad38,朝代实体,翁元龙 → 活跃于 → 宋代
6f29890205b82bfe,作者实体,活跃于,2b45004ffdb9e977,朝代实体,司空曙 → 活跃于 → 唐代
7f61fe15f0b4888d,作者实体,活跃于,8a1dda8fe4d6ad38,朝代实体,吴文英 → 活跃于 → 宋代
9896951f511f649b,作者实体,活跃于,8a1dda8fe4d6ad38,朝代实体,陈师道 → 活跃于 → 宋代
484105106030fb5d,作者实体,活跃于,8a1dda8fe4d6ad38,朝代实体,汪藻 → 活跃于 → 宋代
5209d809d2985a34,作者实体,活跃于,34a357a47ee484a9,朝代实体,顾夐 → 活跃于 → 五代
2d8e143f45b402a4,作者实体,活跃于,34a357a47ee484a9,朝代实体,冯延巳 → 活跃于 → 五代
a7501f4e9740c231,作者实体,活跃于,8a1dda8fe4d6ad38,朝代实体,蒋捷 → 活跃于 → 宋代
868cb426cc617098,作者实体,活跃于,7c9b0bd88bc951f0,朝代实体,厉鹗 → 活跃于 → 清代
82fdc08833e709ac,作者实体,活跃于,8a1dda8fe4d6ad38,朝代实体,史达祖 → 活跃于 → 宋代
e8a5656a9f005103,作者实体,活跃于,28ae6ffa79d4d921,朝代实体,王羲之 → 活跃于 → 魏晋
