诗文ID,标题,原文
dd1ce6896a44,清平乐·画堂晨起,"画堂晨起，来报雪花坠。高卷帘栊看佳瑞，皓色远迷庭砌。
盛气光引炉烟，素草寒生玉佩。应是天仙狂醉，乱把白云揉碎。"
cbbb4bd0d351,寄黄几复,"我居北海君南海，寄雁传书谢不能。
桃李春风一杯酒，江湖夜雨十年灯。
持家但有四立壁，治病不蕲三折肱。
想见读书头已白，隔溪猿哭瘴溪藤。"
475f8e88862c,玉楼春·尊前拟把归期说,"尊前拟把归期说，欲语春容先惨咽。人生自是有情痴，此恨不关风与月。
离歌且莫翻新阕，一曲能教肠寸结。直须看尽洛城花，始共春风容易别。"
170df91879a2,清平调·其一,"云想衣裳花想容，春风拂槛露华浓。 
若非群玉山头见，会向瑶台月下逢。"
a2b349dd32e8,新添声杨柳枝词二首,"一尺深红胜曲尘，天生旧物不如新。
合欢桃核终堪恨，里许元来别有人。井底点灯深烛伊，共郎长行莫围棋。
玲珑骰子安红豆，入骨相思知不知。"
837510c0a7c4,把酒问月·故人贾淳令予问之,"青天有月来几时？我今停杯一问之。
人攀明月不可得，月行却与人相随。
皎如飞镜临丹阙，绿烟灭尽清辉发。
但见宵从海上来，宁知晓向云间没。
白兔捣药秋复春，嫦娥孤栖与谁邻？
今人不见古时月，今月曾经照古人。
古人今人若流水，共看明月皆如此。
唯愿当歌对酒时，月光长照金樽里。"
826758a2d666,一剪梅·雨打梨花深闭门,"雨打梨花深闭门，孤负青春，虚负青春。赏心乐事共谁论？花下销魂，月下销魂。
愁聚眉峰尽日颦，千点啼痕，万点啼痕。晓看天色暮看云，行也思君，坐也思君。"
fc41cc295b54,和董传留别,"粗缯大布裹生涯，腹有诗书气自华。
厌伴老儒烹瓠叶，强随举子踏槐花。
囊空不办寻春马，眼乱行看择婿车。
得意犹堪夸世俗，诏黄新湿字如鸦。"
8ca2131b3450,送柴侍御,"沅水通波接武冈，送君不觉有离伤。
青山一道同云雨，明月何曾是两乡。"
6650a905deea,登科后,"昔日龌龊不足夸，今朝放荡思无涯。 
春风得意马蹄疾，一日看尽长安花。"
e07317133df0,酬乐天咏老见示,"人谁不顾老，老去有谁怜。
身瘦带频减，发稀冠自偏。
废书缘惜眼，多灸为随年。
经事还谙事，阅人如阅川。
细思皆幸矣，下此便翛然。
莫道桑榆晚，为霞尚满天。"
eafb4ea8a749,春宵,"春宵一刻值千金，花有清香月有阴。
歌管楼台声细细，秋千院落夜沉沉。"
31bc973d596d,和子由渑池怀旧,"人生到处知何似，应似飞鸿踏雪泥。
泥上偶然留指爪，鸿飞那复计东西。
老僧已死成新塔，坏壁无由见旧题。
往日崎岖还记否，路长人困蹇驴嘶。"
0a65b1091d79,寒菊,"花开不并百花丛，独立疏篱趣未穷。
宁可枝头抱香死，何曾吹落北风中。"
d096804a25ff,卜算子·我住长江头,"我住长江头，君住长江尾。日日思君不见君，共饮长江水。 
此水几时休，此恨何时已。只愿君心似我心，定不负相思意。"
9008400cbb8c,浣溪沙·残雪凝辉冷画屏,"残雪凝辉冷画屏，落梅横笛已三更，更无人处月胧明。
我是人间惆怅客，知君何事泪纵横，断肠声里忆平生。"
c439b578d976,蟾宫曲·春情,"平生不会相思，才会相思，便害相思。
身似浮云，心如飞絮，气若游丝。
空一缕余香在此，盼千金游子何之。
证候来时，正是何时？灯半昏时，月半明时。"
6983ce743726,上李邕,"大鹏一日同风起，扶摇直上九万里。
假令风歇时下来，犹能簸却沧溟水。
世人见我恒殊调，闻余大言皆冷笑。
宣父犹能畏后生，丈夫未可轻年少。"
e83cadaaf394,鹊桥仙·纤云弄巧,"纤云弄巧，飞星传恨，银汉迢迢暗度。金风玉露一相逢，便胜却人间无数。
柔情似水，佳期如梦，忍顾鹊桥归路。两情若是久长时，又岂在朝朝暮暮。"
8f95ec72af42,浣溪沙·细雨斜风作晓寒,"元丰七年十二月二十四日，从泗州刘倩叔游南山细雨斜风作晓寒，淡烟疏柳媚晴滩。入淮清洛渐漫漫。
雪沫乳花浮午盏，蓼茸蒿笋试春盘。人间有味是清欢。"
1da16040c5e0,鹧鸪天·代人赋,"晚日寒鸦一片愁。柳塘新绿却温柔。若教眼底无离恨，不信人间有白头。
肠已断，泪难收。相思重上小红楼。情知已被山遮断，频倚阑干不自由。"
8cd9a96daaa4,浣溪沙·漠漠轻寒上小楼,"漠漠轻寒上小楼，晓阴无赖似穷秋。淡烟流水画屏幽。
自在飞花轻似梦，无边丝雨细如愁。宝帘闲挂小银钩。"
108ce1408715,梦江南·千万恨,千万恨，恨极在天涯。山月不知心里事，水风空落眼前花，摇曳碧云斜。
2449fc7a9986,题都城南庄,"去年今日此门中，人面桃花相映红。
人面不知何处去，桃花依旧笑春风。"
1f5f518781f0,写情,"水纹珍簟思悠悠，千里佳期一夕休。
从此无心爱良夜，任他明月下西楼。"
51aa3a553057,青玉案·元夕,"东风夜放花千树，更吹落、星如雨。宝马雕车香满路。凤箫声动，玉壶光转，一夜鱼龙舞。
蛾儿雪柳黄金缕，笑语盈盈暗香去。众里寻他千百度。蓦然回首，那人却在，灯火阑珊处。"
334152b6ba49,临江仙·夜归临皋,"夜饮东坡醒复醉，归来仿佛三更。家童鼻息已雷鸣。敲门都不应，倚杖听江声。 
长恨此身非我有，何时忘却营营。夜阑风静縠纹平。小舟从此逝，江海寄余生。"
4ef2774ed20a,上邪,"上邪！我欲与君相知，长命无绝衰。
山无陵，江水为竭，冬雷震震，夏雨雪，天地合，乃敢与君绝。"
3b1108c2df7b,绮怀十六首·其十五,"几回花下坐吹箫，银汉红墙入望遥。
似此星辰非昨夜，为谁风露立中宵。
缠绵思尽抽残茧，宛转心伤剥后蕉。
三五年时三五月，可怜杯酒不曾消。"
05c6c4ccf634,无题二首·其一,"昨夜星辰昨夜风，画楼西畔桂堂东。
身无彩凤双飞翼，心有灵犀一点通。
隔座送钩春酒暖，分曹射覆蜡灯红。
嗟余听鼓应官去，走马兰台类转蓬。"
b6447ef32a25,南陵别儿童入京,"白酒新熟山中归，黄鸡啄黍秋正肥。
呼童烹鸡酌白酒，儿女嬉笑牵人衣。
高歌取醉欲自慰，起舞落日争光辉。
游说万乘苦不早，著鞭跨马涉远道。
会稽愚妇轻买臣，余亦辞家西入秦。
仰天大笑出门去，我辈岂是蓬蒿人。"
c69e5720e858,沈园二首·其一,"城上斜阳画角哀，沈园非复旧池台。
伤心桥下春波绿，曾是惊鸿照影来。"
cd7027786b98,终南别业,"中岁颇好道，晚家南山陲。
兴来每独往，胜事空自知。
行到水穷处，坐看云起时。
偶然值林叟，谈笑无还期。"
5f9038905eb7,无题,"油壁香车不再逢，峡云无迹任西东。
梨花院落溶溶月，柳絮池塘淡淡风。
几日寂寥伤酒后，一番萧索禁烟中。
鱼书欲寄何由达，水远山长处处同。"
2dcf6f7cfbbc,相见欢·林花谢了春红,"林花谢了春红，太匆匆。无奈朝来寒雨晚来风。
胭脂泪，相留醉，几时重。自是人生长恨水长东。"
1e6e5884e818,金陵晚望,"曾伴浮云归晚翠，犹陪落日泛秋声。
世间无限丹青手，一片伤心画不成。"
43e1c0daacca,淮上喜会梁州故人,"江汉曾为客，相逢每醉还。
浮云一别后，流水十年间。
欢笑情如旧，萧疏鬓已斑。
何因不归去？淮上有秋山。"
e1339dc3ff03,山园小梅二首,"众芳摇落独暄妍，占尽风情向小园。
疏影横斜水清浅，暗香浮动月黄昏。
霜禽欲下先偷眼，粉蝶如知合断魂。
幸有微吟可相狎，不须檀板共金樽。剪绡零碎点酥乾，向背稀稠画亦难。
日薄从甘春至晚，霜深应怯夜来寒。
澄鲜只共邻僧惜，冷落犹嫌俗客看。
忆着江南旧行路，酒旗斜拂堕吟鞍。"
3cdf14dcee4c,横渠四句,为天地立心，为生民立命，为往圣继绝学，为万世开太平。
2a844a2e6460,青青陵上柏,"青青陵上柏，磊磊涧中石。
人生天地间，忽如远行客。
斗酒相娱乐，聊厚不为薄。
驱车策驽马，游戏宛与洛。
洛中何郁郁，冠带自相索。
长衢罗夹巷，王侯多第宅。
两宫遥相望，双阙百余尺。
极宴娱心意，戚戚何所迫？"
225cb1230cb7,八六子·倚危亭,"倚危亭。恨如芳草，萋萋刬尽还生。念柳外青骢别后，水边红袂分时，怆然暗惊。
无端天与娉婷。夜月一帘幽梦，春风十里柔情。怎奈向、欢娱渐随流水，素弦声断，翠绡香减，那堪片片飞花弄晚，蒙蒙残雨笼晴。正销凝。黄鹂又啼数声。"
2f3e1e0a34bb,黍离,"彼黍离离，彼稷之苗。行迈靡靡，中心摇摇。知我者，谓我心忧；不知我者，谓我何求。悠悠苍天，此何人哉？
彼黍离离，彼稷之穗。行迈靡靡，中心如醉。知我者，谓我心忧；不知我者，谓我何求。悠悠苍天，此何人哉？
彼黍离离，彼稷之实。行迈靡靡，中心如噎。知我者，谓我心忧；不知我者，谓我何求。悠悠苍天，此何人哉？"
fe34d4125f89,玉楼春·别后不知君远近,"别后不知君远近，触目凄凉多少闷。渐行渐远渐无书，水阔鱼沉何处问。
夜深风竹敲秋韵，万叶千声皆是恨。故攲单枕梦中寻，梦又不成灯又烬。"
51c560529d2a,冬夜读书示子聿,"古人学问无遗力，少壮工夫老始成。
纸上得来终觉浅，绝知此事要躬行。"
f9a34574e44a,浣溪沙·谁念西风独自凉,"谁念西风独自凉，萧萧黄叶闭疏窗，沉思往事立残阳。
被酒莫惊春睡重，赌书消得泼茶香，当时只道是寻常。"
9fedd9d41999,代悲白头翁,"洛阳城东桃李花，飞来飞去落谁家？
洛阳女儿惜颜色，坐见落花长叹息。
今年花落颜色改，明年花开复谁在？
已见松柏摧为薪，更闻桑田变成海。
古人无复洛城东，今人还对落花风。
年年岁岁花相似，岁岁年年人不同。
寄言全盛红颜子，应怜半死白头翁。
此翁白头真可怜，伊昔红颜美少年。
公子王孙芳树下，清歌妙舞落花前。
光禄池台文锦绣，将军楼阁画神仙。
一朝卧病无相识，三春行乐在谁边？
宛转蛾眉能几时？须臾鹤发乱如丝。
但看古来歌舞地，惟有黄昏鸟雀悲。"
39ad02580f79,水仙子·夜雨,一声梧叶一声秋，一点芭蕉一点愁，三更归梦三更后。落灯花，棋未收，叹新丰逆旅淹留。枕上十年事，江南二老忧，都到心头。
731e2a19594e,宣州谢朓楼饯别校书叔云,"弃我去者，昨日之日不可留；
乱我心者，今日之日多烦忧。
长风万里送秋雁，对此可以酣高楼。
蓬莱文章建安骨，中间小谢又清发。
俱怀逸兴壮思飞，欲上青天揽明月。
抽刀断水水更流，举杯消愁愁更愁。
人生在世不称意，明朝散发弄扁舟。"
b7f6fef5bb0b,一剪梅·红藕香残玉簟秋,"红藕香残玉簟秋。轻解罗裳，独上兰舟。云中谁寄锦书来？雁字回时，月满西楼。
花自飘零水自流。一种相思，两处闲愁。此情无计可消除，才下眉头，却上心头。"
44c7047fdd94,题三十小象,"食肉何曾尽虎头，卅年书剑海天秋。
文章幸未逢黄祖，襆被今犹窘马周。
自是汝才难用世，岂真吾相不当侯。
须知少日拏云志，曾许人间第一流。"
7ae587439291,春夜宴从弟桃花园序,夫天地者，万物之逆旅也；光阴者，百代之过客也。而浮生若梦，为欢几何？古人秉烛夜游，良有以也。况阳春召我以烟景，大块假我以文章。会桃花之芳园，序天伦之乐事。群季俊秀，皆为惠连；吾人咏歌，独惭康乐。幽赏未已，高谈转清。开琼筵以坐花，飞羽觞而醉月。不有佳咏，何伸雅怀？如诗不成，罚依金谷酒数。
65bc4719e0b1,咸阳城东楼,"一上高城万里愁，蒹葭杨柳似汀洲。
溪云初起日沉阁，山雨欲来风满楼。
鸟下绿芜秦苑夕，蝉鸣黄叶汉宫秋。
行人莫问当年事，故国东来渭水流。"
e1c6346d4d88,简卢陟,"可怜白雪曲，未遇知音人。
恓惶戎旅下，蹉跎淮海滨。
涧树含朝雨，山鸟哢馀春。
我有一瓢酒，可以慰风尘。"
2ee36eb2ccf7,丑奴儿·书博山道中壁,"少年不识愁滋味，爱上层楼。爱上层楼，为赋新词强说愁。 
而今识尽愁滋味，欲说还休。欲说还休，却道“天凉好个秋”！"
bd4224133394,离思五首·其四,"曾经沧海难为水，除却巫山不是云。
取次花丛懒回顾，半缘修道半缘君。"
32bfa9757c62,不第后赋菊,"待到秋来九月八，我花开后百花杀。
冲天香阵透长安，满城尽带黄金甲。"
d99474e71e35,上堂开示颂,"尘劳迥脱事非常，紧把绳头做一场。
不经一番寒彻骨，怎得梅花扑鼻香。"
902b7c60788a,蝶恋花·槛菊愁烟兰泣露,"槛菊愁烟兰泣露，罗幕轻寒，燕子双飞去。明月不谙离恨苦，斜光到晓穿朱户。
昨夜西风凋碧树，独上高楼，望尽天涯路。欲寄彩笺兼尺素，山长水阔知何处？"
36bd11e782a7,采桑子·高城鼓动兰釭灺,"高城鼓动兰釭灺，睡也还醒，醉也还醒，忽听孤鸿三两声。
人生只似风前絮，欢也零星，悲也零星，都作连江点点萍。"
32d2e7ebc423,西洲曲,"忆梅下西洲，折梅寄江北。
单衫杏子红，双鬓鸦雏色。
西洲在何处？两桨桥头渡。
日暮伯劳飞，风吹乌臼树。
树下即门前，门中露翠钿。
开门郎不至，出门采红莲。
采莲南塘秋，莲花过人头。
低头弄莲子，莲子清如水。
置莲怀袖中，莲心彻底红。
忆郎郎不至，仰首望飞鸿。
鸿飞满西洲，望郎上青楼。
楼高望不见，尽日栏杆头。
栏杆十二曲，垂手明如玉。
卷帘天自高，海水摇空绿。
海水梦悠悠，君愁我亦愁。
南风知我意，吹梦到西洲。"
5ac613721d19,乌夜啼·昨夜风兼雨,"昨夜风兼雨，帘帏飒飒秋声。烛残漏断频欹枕，起坐不能平。
世事漫随流水，算来一梦浮生。醉乡路稳宜频到，此外不堪行。"
4dd3bba27491,鹧鸪天·林断山明竹隐墙,"林断山明竹隐墙。乱蝉衰草小池塘。翻空白鸟时时见，照水红蕖细细香。
村舍外，古城旁。杖藜徐步转斜阳。殷勤昨夜三更雨，又得浮生一日凉。"
1b22f2e35e37,正月二十日与潘郭二生出郊寻春忽记去年是日同至女王城作诗乃和前韵,"东风未肯入东门，走马还寻去岁村。
人似秋鸿来有信，事如春梦了无痕。
江城白酒三杯酽，野老苍颜一笑温。
已约年年为此会，故人不用赋招魂。"
6c1ea9b7dd44,陋室铭,山不在高，有仙则名。水不在深，有龙则灵。斯是陋室，惟吾德馨。苔痕上阶绿，草色入帘青。谈笑有鸿儒，往来无白丁。可以调素琴，阅金经。无丝竹之乱耳，无案牍之劳形。南阳诸葛庐，西蜀子云亭。孔子云：何陋之有？
3264b4f8f750,蝶恋花·伫倚危楼风细细,"伫倚危楼风细细，望极春愁，黯黯生天际。草色烟光残照里，无言谁会凭阑意。
拟把疏狂图一醉，对酒当歌，强乐还无味。衣带渐宽终不悔，为伊消得人憔悴。"
2e5c862589b9,水调歌头·黄州快哉亭赠张偓佺,"落日绣帘卷，亭下水连空。知君为我新作，窗户湿青红。长记平山堂上，欹枕江南烟雨，杳杳没孤鸿。认得醉翁语，山色有无中。
一千顷，都镜净，倒碧峰。忽然浪起，掀舞一叶白头翁。堪笑兰台公子，未解庄生天籁，刚道有雌雄。一点浩然气，千里快哉风。"
8cc45971b842,采桑子·时光只解催人老,"时光只解催人老，不信多情，长恨离亭，泪滴春衫酒易醒。
梧桐昨夜西风急，淡月胧明，好梦频惊，何处高楼雁一声？"
f4508d4403b7,赠质上人,"枿坐云游出世尘，兼无瓶钵可随身。
逢人不说人间事，便是人间无事人。"
71a85f935e90,长相思·折花枝,"折花枝，恨花枝，准拟花开人共卮，开时人去时。
怕相思，已相思，轮到相思没处辞，眉间露一丝。"
a416ac373919,白头吟,"皑如山上雪，皎若云间月。
闻君有两意，故来相决绝。
今日斗酒会，明旦沟水头。
躞蹀御沟上，沟水东西流。
凄凄复凄凄，嫁娶不须啼。
愿得一心人，白头不相离。
竹竿何袅袅，鱼尾何簁簁！
男儿重意气，何用钱刀为！"
f08f2f570c7d,定风波·南海归赠王定国侍人寓娘,"王定国歌儿曰柔奴，姓宇文氏，眉目娟丽，善应对，家世住京师。定国南迁归，余问柔：“广南风土， 应是不好？”柔对曰：“此心安处，便是吾乡。”因为缀词云。常羡人间琢玉郎，天应乞与点酥娘。尽道清歌传皓齿，风起，雪飞炎海变清凉。
万里归来颜愈少。微笑，笑时犹带岭梅香。试问岭南应不好，却道：此心安处是吾乡。"
68b2bf1dbf8b,西江月·世事短如春梦,"世事短如春梦，人情薄似秋云。不须计较苦劳心，万事原来有命。
幸遇三杯酒好，况逢一朵花新。片时欢笑且相亲，明日阴晴未定。"
13f153478a2a,凤求凰,"有一美人兮，见之不忘。
一日不见兮，思之如狂。
凤飞翱翔兮，四海求凰。
无奈佳人兮，不在东墙。
将琴代语兮，聊写衷肠。
何时见许兮，慰我彷徨。
愿言配德兮，携手相将。
不得於飞兮，使我沦亡。凤兮凤兮归故乡，遨游四海求其凰。
时未遇兮无所将，何悟今兮升斯堂！
有艳淑女在闺房，室迩人遐毒我肠。
何缘交颈为鸳鸯，胡颉颃兮共翱翔！
凰兮凰兮从我栖，得托孳尾永为妃。
交情通意心和谐，中夜相从知者谁？
双翼俱起翻高飞，无感我思使余悲。"
8a860f142c0a,摸鱼儿·雁丘词,"乙丑岁赴试并州，道逢捕雁者云：“今旦获一雁，杀之矣。其脱网者悲鸣不能去，竟自投于地而死。”予因买得之，葬之汾水之上，垒石为识，号曰“雁丘”。时同行者多为赋诗，予亦有《雁丘词》。旧所作无宫商，今改定之。问世间，情是何物，直教生死相许？天南地北双飞客，老翅几回寒暑。欢乐趣，离别苦，就中更有痴儿女。君应有语：渺万里层云，千山暮雪，只影向谁去？
横汾路，寂寞当年箫鼓，荒烟依旧平楚。招魂楚些何嗟及，山鬼自啼风雨。天也妒，未信与，莺儿燕子俱黄土。千秋万古，为留待骚人，狂歌痛饮，来访雁丘处。"
f20c6e290a03,绝句,"古木阴中系短篷，杖藜扶我过桥东。
沾衣欲湿杏花雨，吹面不寒杨柳风。"
16e9c75bf6d1,南园十三首·其五,"男儿何不带吴钩，收取关山五十州。
请君暂上凌烟阁，若个书生万户侯？"
1d9be160cf6d,水调歌头·游览,"瑶草一何碧，春入武陵溪。溪上桃花无数，枝上有黄鹂。我欲穿花寻路，直入白云深处，浩气展虹霓。只恐花深里，红露湿人衣。
坐玉石，倚玉枕，拂金徽。谪仙何处？无人伴我白螺杯。我为灵芝仙草，不为朱唇丹脸，长啸亦何为？醉舞下山去，明月逐人归。"
cad3c6bebe91,无题·重帏深下莫愁堂,"重帏深下莫愁堂，卧后清宵细细长。
神女生涯原是梦，小姑居处本无郎。
风波不信菱枝弱，月露谁教桂叶香。
直道相思了无益，未妨惆怅是清狂。"
139c20ac3fb8,浪淘沙·借问江潮与海水,"借问江潮与海水，何似君情与妾心？
相恨不如潮有信，相思始觉海非深。"
ad6df2bf88a9,春残,"又是春残也，如何出翠帏？
落花人独立，微雨燕双飞。
寓目魂将断，经年梦亦非。
那堪向愁夕，萧飒暮蝉辉。"
d02a847e3a85,病起书怀,"病骨支离纱帽宽，孤臣万里客江干。
位卑未敢忘忧国，事定犹须待阖棺。
天地神灵扶庙社，京华父老望和銮。
出师一表通今古，夜半挑灯更细看。"
05c6c4ccf634,无题二首·其一,"昨夜星辰昨夜风，画楼西畔桂堂东。
身无彩凤双飞翼，心有灵犀一点通。
隔座送钩春酒暖，分曹射覆蜡灯红。
嗟余听鼓应官去，走马兰台类转蓬。"
cd236de1e210,武陵春·春晚,"风住尘香花已尽，日晚倦梳头。物是人非事事休，欲语泪先流。
闻说双溪春尚好，也拟泛轻舟。只恐双溪舴艋舟，载不动许多愁。"
731e2a19594e,宣州谢朓楼饯别校书叔云,"弃我去者，昨日之日不可留；
乱我心者，今日之日多烦忧。
长风万里送秋雁，对此可以酣高楼。
蓬莱文章建安骨，中间小谢又清发。
俱怀逸兴壮思飞，欲上青天揽明月。
抽刀断水水更流，举杯消愁愁更愁。
人生在世不称意，明朝散发弄扁舟。"
330cfc1476ad,临江仙·送钱穆父,"一别都门三改火，天涯踏尽红尘。依然一笑作春温。无波真古井，有节是秋筠。
惆怅孤帆连夜发，送行淡月微云。尊前不用翠眉颦。人生如逆旅，我亦是行人。"
444df93c9bdf,白雪歌送武判官归京,"北风卷地白草折，胡天八月即飞雪。
忽如一夜春风来，千树万树梨花开。
散入珠帘湿罗幕，狐裘不暖锦衾薄。
将军角弓不得控，都护铁衣冷难着。
瀚海阑干百丈冰，愁云惨淡万里凝。
中军置酒饮归客，胡琴琵琶与羌笛。
纷纷暮雪下辕门，风掣红旗冻不翻。
轮台东门送君去，去时雪满天山路。
山回路转不见君，雪上空留马行处。"
d50eb19399e6,渡荆门送别,"渡远荆门外，来从楚国游。
山随平野尽，江入大荒流。
月下飞天镜，云生结海楼。
仍怜故乡水，万里送行舟。"
12a2295aa76b,送元二使安西,"渭城朝雨浥轻尘，客舍青青柳色新。
劝君更尽一杯酒，西出阳关无故人。"
f433a64dd504,芙蓉楼送辛渐,"寒雨连江夜入吴，平明送客楚山孤。
洛阳亲友如相问，一片冰心在玉壶。"
b7820a12ebaa,赋得古原草送别,"离离原上草，一岁一枯荣。
野火烧不尽，春风吹又生。
远芳侵古道，晴翠接荒城。
又送王孙去，萋萋满别情。"
fc41cc295b54,和董传留别,"粗缯大布裹生涯，腹有诗书气自华。
厌伴老儒烹瓠叶，强随举子踏槐花。
囊空不办寻春马，眼乱行看择婿车。
得意犹堪夸世俗，诏黄新湿字如鸦。"
ee1bd6238d4a,卜算子·送鲍浩然之浙东,"水是眼波横，山是眉峰聚。欲问行人去那边？眉眼盈盈处。
才始送春归，又送君归去。若到江南赶上春，千万和春住。"
4b3ccba01be6,别董大,"千里黄云白日曛，北风吹雁雪纷纷。
莫愁前路无知己，天下谁人不识君。"
8ca2131b3450,送柴侍御,"沅水通波接武冈，送君不觉有离伤。
青山一道同云雨，明月何曾是两乡。"
a70899a5c2a2,鹧鸪天·送人,"唱彻《阳关》泪未干，功名馀事且加餐。浮天水送无穷树，带雨云埋一半山。
今古恨，几千般，只应离合是悲欢？江头未是风波恶，别有人间行路难！"
2a8ac16f6025,鹧鸪天·送廓之秋试,"白苎新袍入嫩凉。春蚕食叶响回廊。禹门已准桃花浪，月殿先收桂子香。
鹏北海，凤朝阳。又携书剑路茫茫。明年此日青云上，却笑人间举子忙。"
6368d3d62fcd,送别,"山中相送罢，日暮掩柴扉。
春草明年绿，王孙归不归？"
ad4d98d510ea,走马川行奉送封大夫出师西征,"君不见走马川行雪海边，平沙莽莽黄入天。 
轮台九月风夜吼，一川碎石大如斗，随风满地石乱走。 
匈奴草黄马正肥，金山西见烟尘飞，汉家大将西出师。 
将军金甲夜不脱，半夜军行戈相拨，风头如刀面如割。 
马毛带雪汗气蒸，五花连钱旋作冰，幕中草檄砚水凝。 
虏骑闻之应胆慑，料知短兵不敢接，车师西门伫献捷。"
fefa0c7ac1f7,贺新郎·别茂嘉十二弟,"绿树听鹈鴂。更那堪、鹧鸪声住，杜鹃声切。啼到春归无寻处，苦恨芳菲都歇。算未抵、人间离别。马上琵琶关塞黑，更长门、翠辇辞金阙。看燕燕，送归妾。 
将军百战身名裂。向河梁、回头万里，故人长绝。易水萧萧西风冷，满座衣冠似雪。正壮士、悲歌未彻。啼鸟还知如许恨，料不啼清泪长啼血。谁共我，醉明月。"
214bea9d63ff,送灵澈上人,"苍苍竹林寺，杳杳钟声晚。
荷笠带斜阳，青山独归远。"
dc090c40cab3,送别,"下马饮君酒，问君何所之？
君言不得意，归卧南山陲。
但去莫复问，白云无尽时。"
f2da3d53a0ea,长相思·吴山青,"吴山青，越山青，两岸青山相送迎，谁知离别情？
君泪盈，妾泪盈，罗带同心结未成，江边潮已平。"
543166678e8b,于易水送人,"此地别燕丹，壮士发冲冠。
昔时人已没，今日水犹寒。"
